,単語,意味
1446,medicine,"薬,薬,薬"
1447,workload,"仕事量,仕事量"
1448,share,"~をシェアする、共有する,シェア、共有、市場占有率,〜を共有する,共有する"
1449,negotiation,"交渉,交渉,交渉"
1450,faucet,蛇口、注ぎ口
1451,critical,批判的な、危機的な、重大な
1452,fluent,流暢な、堪能な
1453,order,"順番、注文,順番、注文する"
1454,deal,"取引／扱う、~を取引する,取引,取り決め"
1455,state-of-the-art,最先端の、最新の
1456,content,"内容、中身／満足している,内容,内容"
1457,carefully,"慎重に,慎重に"
1458,contrary,正反対の
1459,package,"（梱包した）荷物,包み"
1460,disposal,（不要物の）処理、処分
1461,economic,"経済の、経済上の,経済"
1462,urge,強く促す
1463,extremely,"きわめて、非常に,非常に"
1464,transport,~を輸送する
1465,direction,"方向、指示（書）,道順,方向"
1466,crowded,"混雑した,混雑した,混雑した"
1467,due to ~,~のせいで、~のおかげで
1468,attire,衣装、服装
1469,popularity,"人気,人気"
1470,crop,作物、収穫量
1471,relative,"相対的な、関係のある／親戚,親戚,相対"
1472,both A and B,AもBもどちらも
1473,permanent,"常設の、常雇用の、永久の,永久的な"
1474,slightly,"わずかに、少し,わずかに,わずかに"
1475,value,"価値／（物の価値）を評価する,価値,値、価値"
1476,excerpt,抜粋、引用
1477,mechanical,"機械の,機械の"
1478,dentist,"歯科医,歯科医"
1479,native,出身の／出身の人
1480,handling,取り扱い、出荷作業
1481,column,柱、コラム
1482,findings,（研究・調査の）結果、わかったこと
1483,retail,"小売り、販売,小売り"
1484,exact,"正確な,正確な"
1485,closely,"蜜に、注意深く,密接に"
1486,reminder,再確認、お知らせ
1487,loyal,忠実な
1488,record,"記録,〜を記録する,記録"
1489,promising,"有望な,前途有望な"
1490,committed,熱心に取り組む、献身的な
1491,receptionist,"受付係,受付"
1492,comparison,比較
1493,pesticide,殺虫剤
1494,lean over ~,~に身を乗り出す
1495,border,"境、境界線,国境"
1496,element,"（~を構成する）要素、成分,要素"
1497,portrait,肖像画
1498,intersection,"交差点,交差点"
1499,minimize,~を最小限にする
1500,bulletin,掲示、公報
1501,caution,"注意、警告,注意"
1502,goods,"商品,商品"
1503,optimistic,"楽観的な,楽観的な"
1504,exam,試験
1505,recent,"最近の,最近の,最近の"
1506,suppose,"（~を真実だと）思う,仮定"
1507,aim,"目標、狙い／目指す、狙う,目標"
1508,plumbing,配管（工事）
1509,wage,"賃金、給料,給料,賃金"
1510,investigation,"調査,調査"
1511,actual,"実際の、現実の,実際の"
1512,takeoff,離陸、出発
1513,employment,"雇用,職業、雇用,雇用"
1514,statement,"明細書、声明,報告書、発言,声明"
1515,upset,"動揺した／~を動揺させる,怒った,ひっくり返る、驚く"
1516,field,"分野、競技場,競技場"
1517,product,"製品、生産物,商品,製品"
1518,adjustment,調整、調節
1519,theme,テーマ、論題
1520,lighthouse,灯台
1521,summarize,要約する
1522,slight,"ほんのわずかの,わずかな"
1523,fountain,"噴水,噴水"
1524,improvement,"改善、向上,改善(点)"
1525,routine,"所定の、日常的に行われる,日課の"
1526,shelf,棚
1527,oppointment,会う約束、アポイントメント
1528,mortgage,抵当／~を抵当に入れる
1529,couple,"二つ、一対,カップル"
1530,certain,"特定の、確かで,確かな、ある〜,特定の"
1531,commuter,通勤者
1532,solid,"固い、堅実な、まじめな,堅実な、しっかりとした,固体"
1533,recession,"後退,不景気"
1534,deserted,"人の気配がない、さびれた,人気のない"
1535,sealed,"密封された,密封した"
1536,current,"現在の,現在の"
1537,acting,"代理の、事実上の,演技"
1538,dominant,支配的な、圧倒的な、主要な
1539,independent,"独立した、自主性のある,自主性のある,独立"
1540,viable,実行可能な
1541,capable,"能力がある、~できる,容量のある"
1542,attractive,"魅力的な,魅力的な"
1543,satisfactory,"満足な,満足な"
1544,determined,"断固とした、決定した,決定した"
1545,physical,"身体的な、物質的な,身体的な,物理的に"
1546,principal,"主な、第一の,元金,主な,校長"
1547,mobile,"移動式の,携帯の"
1548,functional,"機能的な、実用的な,実用的な"
1549,round-trip,往復旅行の
1550,rewarding,やりがいのある、実りの多い
1551,tight,"きつい、ぎっしり詰まった,不足している"
1552,out of order,故障して
1553,respectful,"礼儀正しい、丁寧な,敬意を表する"
1554,protective,保護用の
1555,another,"もう一つの、別の,もうひとつの"
1556,seated,座った、座らせられた
1557,abroad,"海外で、国外へ,海外の"
1558,athletic,運動好きな、運動選手用の
1559,greatly,"大いに、非常に,大きく"
1560,on average,平均して
1561,accordingly,"したがって、それに応じて,したがって"
1562,trustworthy,信頼できる、信用できる
1563,superior,"優れた、上等の,上司,優れた"
1564,consistently,常に、変わらず
1565,registration,"登録、記名,登録,登録"
1566,proudly,誇らしげに、堂々と
1567,rejection,拒絶、断ること
1568,formally,正式に、フォーマルに
1569,preference,好み、希望
1570,heavily,大量に、非常に頻繁に、重く
1571,transact,（取引、業務など）を行う
1572,surprisingly,"驚いたことに、意外に,驚くほど"
1573,target,"的、目標／~を目標にする,目標"
1574,rapidly,"急速に,急速に"
1575,customize,カスタマイズする、特別注文に応じて作る
1576,side by side,横に並んで
1577,climate,"気候,気候,気候"
1578,currency,"通貨,通貨"
1579,matter,"重要である／（考慮すべき）事柄,重要である,事態"
1580,kindly,親切に、どうぞ～してください
1581,rest,"残り、休み／休む,休憩,休む"
1582,approximately,"おおよそ,おおよそ,約、おおよそ"
1583,firmly,固く、確固として
1584,nervous,"緊張した、神経質な,緊張して"
1585,respect,"~を尊敬する／~への尊敬,敬意,尊重"
1586,no later than ~,遅くとも~
1587,publicly,公的に、公然と
1588,evenly,平らに、均一に
1589,regardless of ~,~にかかわらず
1590,in common,共通に、共同に
1591,plenty of ~,たくさんの~
1592,readily,"簡単に、すぐに,容易に"
1593,copyright,著作権
1594,statistics,"統計,統計"
1595,lately,"最近、この頃,最近"
1596,sustainable,持続可能な、維持できる
1597,in person,直接会って、じかに
1598,participation,"参加、加入,参加,参加"
1599,necessarily,"必ずしも~でない、必然的に,必ずしも"
1600,credit,"（人の）称賛、名声、信用,信用貸し,クレジット、信用"
1601,sharply,急激に、鋭く
1602,withdraw,"撤収する、下ろす、取り下げる,〜を引き出す"
1603,somewhat,"いくぶん、ある程度,やや"
1604,sort,"~を分類する／種類,種類,並べ替え"
1605,sharp,"鋭い、（頭が）さえる,鋭い"
1606,widely,"広く,広く"
1607,political,"政治的な、政治の,政治の,政治の"
1608,altogether,"合計して、全部で,完全に"
1609,take advantage of ~,~を上手く利用する
1610,increasingly,"ますます,ますます"
1611,in spite of ~,~にもかかわらず
1612,including,"含めて,を含んでいる"
1613,artifical,人工的な、作り物の
1614,besides,"さらに,さらに,加えて"
1615,active,活動的な、活発な
1616,via,"~経由で,～経由で"
1617,in charge of,~を担当している、~の責任がある
1618,activate,~を始動・稼動させる
1619,relocate,移転させる、引っ越す
1620,inquiry,"問い合わせ,問い合わせ"
1621,assembly line,（工場の）組み立てライン
1622,vision,"見通し、先見,理想像"
1623,unfortunate,"不運な,不幸な"
1624,be absent from ~,~を欠席する
1625,original,"元の、最初の,原本、元々の,最初の,オリジナルの"
1626,borrow,"~を借りる,〜を借りる"
1627,absent,欠席の、不在の
1628,ban,"~を禁止する／禁止,禁止する、禁止"
1629,sum,~を合計する／合計
1630,grateful,"感謝している,感謝している,感謝"
1631,souvenir,お土産、記念品
1632,either A or B,AかBかどちらか
1633,disappointing,"期待外れの、がっかりさせるような,期待はずれの"
1634,distant,"遠い、離れた、距離がある,遠く離れた"
1635,rare,"まれな、珍しい,珍しい,珍しい"
1636,abolish,"（法律や制度など）を廃止する,〜を廃止する"
1637,spacious,広々とした、ゆったりとした
1638,surely,"必ず、確かに,確かに、きっと,確実に"
1639,random,無作為の、任意の
1640,challenging,困難だがやりがいのある、意欲をかきたてる
1641,competitor,"競争相手,競争相手"
1642,insist,"~を主張する、しつこく要求する,〜を主張する"
1643,valued,"重要な、高く評価された,値された"
1644,press,"報道陣／~に圧力をかける,報道機関,プレス、押す"
1645,slanted,傾斜した、斜めの
1646,previously,"以前は,以前は,以前は"
1647,submission,提出物、提出、投稿
1648,distinct,はっきり異なる、独特な
1649,requirement,必要条件、必要なもの
1650,casual,"時々の、偶然の、カジュアルな,堅苦しくない、くだけた"
1651,unlikely,"~しそうもない、ありそうもない,ありそうにない"
1652,consent,同意する、承諾する／同意、承諾
1653,organized,組織化された、有能な
1654,compromise,"妥協、譲歩／妥協する、譲歩する,妥協,妥協する"
1655,tool,"道具,ツール、道具"
1656,equal,"同じ、平等な,等しい"
1657,equality,平等、等しいこと
1658,luxury,"豪華な、ぜいたくな,贅沢,豪華な"
1659,to some degree,ある程度まで
1660,yearly,年1回の、毎年の
1661,extensive,"幅広い、大規模な,広範囲にわたる,広範な"
1662,timely,タイミングの良い、タイムリーな
1663,citizen,"国民、市民,市民"
1664,fixed,"固定した、一定の,固定"
1665,approval,"承諾、承認,承認,承認"
1666,severe,"深刻な、厳しい,深刻な,厳しい、シビア、真面目な"
1667,deprive A of B,AからBを奪う
1668,besed,基づいた
1669,unveil,~を公表する、明らかにする
1670,substantial,かなりの、実在する
1671,diligent,"勤勉な,勤勉な"
1672,personal,"個人的な,個人的な,個人的な"
1673,inspire,~を引き起こす、~にひらめきを与える
1674,narrow,狭い、細い
1675,neither A nor B,AでもBでもない
1676,patterned,模様のついた
1677,courteous,丁寧な、礼儀正しい
1678,promotional,販売促進の
1679,exhaust,"~を使い果たす、ひどく疲れさせる,〜を疲れ果てさせる"
1680,thorough,"徹底的な、完璧な,徹底した"
1681,stockholder,株主
1682,extreme,"極度の、極端な,極端な,極端な"
1683,prompt,"迅速な,迅速な,適切な"
1684,ignore,"~を無視する,〜を無視する"
1685,furnished,家具付きの
1686,train,"~を教育する、訓練する／電車,電車、列車"
1687,willingly,喜んで、進んで
1688,desirable,"望ましい、魅力的な,望ましい"
